iter	Logloss
0	0.5488976647
1	0.4550072075
2	0.3932498259
3	0.3474230867
4	0.3128817031
5	0.2884391987
6	0.2719446025
7	0.2576441888
8	0.2443325559
9	0.2347534359
10	0.2271917994
11	0.2211324221
12	0.2152215778
13	0.2094370292
14	0.2036430336
15	0.1991872832
16	0.1956947618
17	0.1932371207
18	0.1910948854
19	0.1887465533
20	0.1876682237
21	0.1849931582
22	0.1838309995
23	0.181794557
24	0.1790409043
25	0.1773891898
26	0.1759917315
27	0.1750284195
28	0.1728071527
29	0.1716181654
30	0.1707792417
31	0.1693962725
32	0.1683638741
33	0.1675183038
34	0.1665600362
35	0.1657367639
36	0.165113485
37	0.1643773853
38	0.163504605
39	0.1627977057
40	0.1620184393
41	0.1612952603
42	0.1608951995
43	0.1602714561
44	0.1596921652
45	0.1590841271
46	0.1580414851
47	0.1575975396
48	0.1570842002
49	0.1566788572
50	0.1562107445
51	0.1555111986
52	0.1550407241
53	0.1545872733
54	0.1536627444
55	0.1532486433
56	0.1525295998
57	0.1521013832
58	0.1517202142
59	0.1513648448
60	0.1506996402
61	0.1503038103
62	0.1500296144
63	0.1495728437
64	0.1490267888
65	0.1487468877
66	0.1483776115
67	0.1478830416
68	0.1472908514
69	0.1469193032
70	0.1465712828
71	0.1460822779
72	0.1457462905
73	0.1453737943
74	0.1449578128
75	0.1445526
76	0.1441569115
77	0.1437572053
78	0.1434561471
79	0.1430207264
80	0.1425327021
81	0.1419229283
82	0.1415124545
83	0.1411356791
84	0.1408224431
85	0.1403418496
86	0.1398870401
87	0.1395704393
88	0.1390934372
89	0.1386191447
90	0.1383175839
91	0.1380367436
92	0.1376760887
93	0.1372234479
94	0.1366363481
95	0.1363431448
96	0.1359722227
97	0.135532378
98	0.1351123799
99	0.1347365447
100	0.1342588099
101	0.1339412207
102	0.1335497161
103	0.1332599169
104	0.1327065625
105	0.1323418685
106	0.1319411749
107	0.1314312239
108	0.1310827323
109	0.1307570334
110	0.1304408197
111	0.1299856074
112	0.1296615219
113	0.1293538756
114	0.1289583532
115	0.1285759556
116	0.1282877675
117	0.1279352917
118	0.1274955144
119	0.1271190116
120	0.1268666604
121	0.1266259294
122	0.1264084861
123	0.1260573421
124	0.125834207
125	0.1253169924
126	0.1249655993
127	0.124660713
128	0.124448645
129	0.1241059135
130	0.1238422158
131	0.1233806453
132	0.1230300006
133	0.1226680554
134	0.1223880678
135	0.122109458
136	0.1218035316
137	0.1214405004
138	0.1212014221
139	0.1208215512
140	0.1204260983
141	0.1200416015
142	0.1195833846
143	0.1193285336
144	0.119060752
145	0.1187595222
146	0.1185476023
147	0.1182497597
148	0.117913852
149	0.1174520077
150	0.1171978356
151	0.116822319
152	0.1165978095
153	0.1163916341
154	0.1161874962
155	0.1158822026
156	0.1154340486
157	0.1152162327
158	0.1150696586
159	0.114787205
160	0.1144337699
161	0.1141548202
162	0.1138741964
163	0.1135666836
164	0.1133460404
165	0.1131572286
166	0.1128813744
167	0.1125521671
168	0.1122717925
169	0.1119512749
170	0.1116408842
171	0.1112892106
172	0.1109912872
173	0.1108047048
174	0.1106459135
175	0.1102975105
176	0.1101045261
177	0.1098796216
178	0.1094690772
179	0.1092812987
180	0.1089521374
181	0.1086310712
182	0.108275501
183	0.1080254813
184	0.1078592985
185	0.1076169272
186	0.1074490009
187	0.1072064086
188	0.1070376699
189	0.1067882145
190	0.1064934394
191	0.1062868062
192	0.1060431828
193	0.105884138
194	0.1057151435
195	0.1054559214
196	0.105159111
197	0.1049230564
198	0.1045989934
199	0.1043614545
