iter	Passed	Remaining
0	180	35989
1	190	18862
2	200	13168
3	211	10362
4	220	8601
5	230	7461
6	240	6632
7	247	5948
8	257	5460
9	265	5045
10	276	4751
11	284	4456
12	293	4224
13	304	4044
14	312	3852
15	324	3735
16	336	3626
17	344	3478
18	353	3370
19	360	3244
20	369	3145
21	376	3043
22	385	2964
23	392	2875
24	405	2835
25	424	2839
26	457	2932
27	473	2908
28	487	2876
29	500	2835
30	512	2795
31	524	2754
32	541	2740
33	551	2694
34	565	2664
35	577	2632
36	588	2592
37	599	2554
38	610	2518
39	619	2476
40	630	2445
41	643	2420
42	656	2397
43	667	2366
44	681	2347
45	713	2389
46	726	2365
47	735	2329
48	745	2297
49	758	2274
50	767	2243
51	779	2218
52	791	2195
53	804	2174
54	816	2152
55	827	2126
56	836	2099
57	844	2066
58	852	2037
59	861	2011
60	871	1986
61	879	1958
62	891	1939
63	905	1923
64	917	1904
65	925	1878
66	936	1859
67	947	1839
68	963	1829
69	976	1813
70	990	1800
71	1003	1783
72	1011	1760
73	1026	1747
74	1043	1738
75	1058	1726
76	1069	1708
77	1081	1690
78	1092	1673
79	1106	1659
80	1119	1644
81	1132	1630
82	1143	1611
83	1159	1601
84	1170	1582
85	1180	1564
86	1187	1542
87	1196	1522
88	1203	1500
89	1221	1493
90	1231	1475
91	1239	1454
92	1247	1435
93	1259	1420
94	1266	1400
95	1277	1384
96	1284	1364
97	1292	1345
98	1300	1326
99	1308	1308
100	1314	1288
101	1320	1268
102	1327	1249
103	1334	1231
104	1343	1215
105	1348	1196
106	1357	1179
107	1363	1161
108	1369	1143
109	1378	1127
110	1384	1109
111	1391	1093
112	1398	1076
113	1405	1060
114	1411	1043
115	1417	1026
116	1423	1010
117	1429	993
118	1437	978
119	1443	962
120	1449	946
121	1455	930
122	1462	915
123	1469	900
124	1475	885
125	1482	870
126	1490	856
127	1497	842
128	1505	828
129	1514	815
130	1522	802
131	1530	788
132	1539	775
133	1546	761
134	1555	749
135	1563	735
136	1571	722
137	1578	709
138	1585	695
139	1592	682
140	1599	669
141	1605	655
142	1611	642
143	1626	632
144	1633	619
145	1640	606
146	1647	594
147	1653	581
148	1659	568
149	1666	555
150	1671	542
151	1677	529
152	1683	517
153	1690	505
154	1697	492
155	1703	480
156	1709	468
157	1724	458
158	1731	446
159	1737	434
160	1745	422
161	1750	410
162	1756	398
163	1763	387
164	1771	375
165	1779	364
166	1788	353
167	1796	342
168	1803	330
169	1813	319
170	1820	308
171	1827	297
172	1834	286
173	1846	275
174	1858	265
175	1868	254
176	1878	244
177	1884	232
178	1893	222
179	1900	211
180	1909	200
181	1917	189
182	1968	182
183	1993	173
184	2000	162
185	2011	151
186	2018	140
187	2026	129
188	2034	118
189	2054	108
190	2062	97
191	2071	86
192	2079	75
193	2087	64
194	2097	53
195	2106	42
196	2113	32
197	2122	21
198	2129	10
199	2137	0
