session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,src_bytes,dst_bytes,traffic_volume,packet_rate,error_rate,syn_flag_count,session_count,attack_detected
1,4590,udp,6,761,1,30,3,Edge,0,27869,30156,58025,454.84645563949056,0.041565958,0,36,0
2,8709,tcp,5,837,0,96,4,Edge,0,14823,52587,67410,77.85072262939278,0.1250253259286046,8,34,0
3,15226,udp,0,1451,1,38,0,Edge,0,1886,65218,67104,338.39255356448786,0.33238311162746426,20,36,0
4,5791,udp,7,1257,1,99,5,Edge,1,39297,82775,122072,287.0267828520347,0.6983880109097398,41,22,1
5,1702,tcp,0,1795,1,96,2,Firefox,0,4799,76084,80883,258.9941337,0.962056525,3,10,0
6,1611,udp,8,118,1,46,2,Safari,1,15168,34854,50022,93.29973491996087,0.5567743059034653,21,23,1
7,19337,icmp,6,1044,1,1,5,Safari,0,21611,55445,77056,15.22425674932759,0.7586417774069335,17,30,0
8,2370,tcp,6,381,0,83,2,Chrome,0,11208,56334,67542,118.8690133753197,0.45336190583750924,20,32,0
9,6024,udp,5,1026,0,46,3,Chrome,0,18849,89988,108837,156.7902561999173,0.6438931946152235,34,2,0
10,10546,tcp,3,1886,0,60,0,Edge,0,85845,75482,161327,459.9897831528502,0.8541336601948463,29,31,0
11,9625,tcp,1,1606,0,80,2,Edge,0,8992,40760,49752,350.8054867526371,0.14679820436483748,43,17,0
12,15320,udp,6,1590,0,71,5,Chrome,1,20755,48956,69711,68.41770895657243,0.955849341,18,3,1
13,7223,tcp,6,200,1,49,1,Safari,0,72102,7000,79102,167.10054003263474,0.7190214571036362,24,39,0
14,6421,udp,0,404,0,75,2,Safari,0,67138,60258,127396,146.79485197790578,0.6167686620397927,11,17,0
15,18079,tcp,6,1829,1,45,5,Firefox,0,63523,20601,84124,222.98006121360626,0.9955278998719541,1,4,1
16,14929,udp,1,1862,1,17,4,Edge,0,73689,31830,105519,454.46497469474235,0.9226279797407645,17,28,1
17,17233,tcp,3,441,1,33,2,Safari,1,54600,52954,107554,211.52486203457568,0.026360572846470864,8,28,0
18,11269,icmp,9,1523,0,30,1,Chrome,1,12138,31003,43141,156.70641584926372,0.5872805189217746,14,2,0
19,9103,tcp,7,1628,1,5,4,Safari,0,33301,1640,34941,464.75149308923704,0.488555095,27,13,0
20,17647,udp,4,260,1,50,3,Edge,0,42283,9416,51699,335.69246811563085,0.14200804333382555,6,14,0
21,9599,icmp,5,219,1,34,5,Edge,1,83433,26373,109806,142.04983124884134,0.063034529,15,17,1
22,5364,udp,1,1968,1,20,0,Chrome,1,49026,72604,121630,444.49030276630674,0.057292273,31,25,0
23,16856,udp,3,436,1,74,3,Chrome,0,32541,48338,80879,167.17763279583247,0.679695555,20,14,0
24,8066,tcp,4,1619,0,82,5,Edge,0,18972,73650,92622,312.29994378776655,0.8025600855178774,11,19,1
25,7629,udp,0,321,0,26,0,Edge,1,57967,27315,85282,355.06276710132255,0.23904977424786167,37,34,0
26,19006,tcp,3,306,1,50,1,Chrome,1,6758,66959,73717,249.2680585788614,0.9434181069700301,14,26,1
27,12591,tcp,8,1160,0,72,3,Safari,0,54877,4986,59863,56.10247560077149,0.9049321200265968,35,7,1
28,7813,udp,7,1486,0,14,1,Safari,0,13869,25002,38871,245.7631586539063,0.5142135492821461,34,17,0
29,11219,icmp,7,357,0,9,0,Chrome,0,24121,64405,88526,302.3380177783521,0.1596729364795353,34,18,0
30,2163,icmp,5,256,0,72,2,Edge,0,38939,87835,126774,68.12220333506984,0.048817014,49,20,0
31,10808,icmp,0,499,1,69,2,Safari,0,18468,11640,30108,486.7024456375865,0.19298684074199757,42,24,0
32,4259,tcp,1,1658,0,37,3,Firefox,1,89704,94985,184689,209.4894949729505,0.8455527932841422,40,13,1
33,11492,udp,5,1059,1,89,4,Firefox,1,68006,60456,128462,386.1936133427338,0.090994797,5,4,1
34,19887,tcp,7,1208,1,12,4,Safari,0,9429,63708,73137,79.57483169736898,0.2774436056271474,17,37,0
35,6004,icmp,3,1745,1,14,2,Safari,0,27551,22273,49824,197.99409020449133,0.7279843322729934,46,26,0
36,12838,udp,9,1805,1,17,5,Chrome,0,43541,84112,127653,461.1516828047245,0.27344194380626885,29,37,1
37,17073,icmp,8,916,1,9,3,Chrome,0,24312,1426,25738,219.61022971785388,0.08373325,8,35,0
38,9303,udp,1,1306,1,88,0,Firefox,0,80949,70218,151167,347.66683664016466,0.4309528010372591,5,16,0
39,1880,tcp,5,345,1,75,3,Firefox,0,96354,71790,168144,240.66293566968173,0.2897412901069395,11,31,0
40,17216,udp,0,1146,1,34,5,Firefox,0,44961,15288,60249,301.69180282220935,0.8137706868077388,49,24,1
41,13876,icmp,0,1342,1,17,1,Chrome,0,49008,37941,86949,44.572382505621306,0.6871934849667062,34,36,0
42,13207,tcp,0,1920,1,90,5,Chrome,0,90780,13460,104240,345.8845666042119,0.083772702,1,1,0
43,5212,tcp,0,236,0,47,0,Chrome,1,41122,1839,42961,399.1608210781834,0.1852866690813123,22,37,0
44,17453,tcp,9,858,0,70,4,Safari,0,19422,85408,104830,81.09516682447727,0.48178437780656913,1,15,0
45,4233,tcp,9,895,0,86,4,Firefox,1,55543,76166,131709,384.4539738390487,0.07014639,42,22,1
46,16547,udp,8,446,0,42,5,Safari,0,17332,19666,36998,343.8453451712092,0.9015705422816847,16,31,1
47,14779,udp,3,270,1,78,2,Edge,0,76735,73926,150661,79.36419259171903,0.18252516530031027,31,24,0
48,12720,icmp,8,604,1,39,5,Chrome,0,87541,57954,145495,78.93380904452262,0.2550495295237628,4,16,0
49,16019,udp,4,587,0,32,1,Edge,0,97755,51559,149314,46.08665626496725,0.9359632385611099,14,2,0
50,14695,tcp,8,827,0,24,1,Edge,0,20240,62545,82785,244.80016147885573,0.7412165509698727,8,31,0
51,8255,tcp,7,1085,1,44,1,Chrome,0,87704,76681,164385,305.96505364618747,0.8930507745156651,17,21,0
52,15299,udp,3,826,1,9,0,Firefox,0,65205,33727,98932,491.7520196344483,0.665478809,21,21,0
53,14795,tcp,3,1298,1,40,5,Firefox,1,13911,29188,43099,235.73079318255034,0.2853031459232056,29,6,1
54,13402,tcp,7,85,0,95,3,Safari,1,25068,88649,113717,273.9010748293074,0.5744883440526439,40,12,1
55,10558,icmp,9,1523,1,61,1,Safari,1,41009,8513,49522,44.12586954486512,0.6290943985131208,26,25,1
